,real,preds
3568,not yet but i am engaged so hopefully soon!,"yes, i have four and five. they play soccer at the same time every day.<|endoftext|>"
3569,that is great that you play soccer. i am into fitness., soon? i am hoping to have a better job after teaching elementary school.<|endoftext|>
3570,i just graduated and am trying to get a job as personal trainer!,how long have you been married?<|endoftext|>
3571,i would love that work. do you swim?, personal trainer? what kind of job do you want?<|endoftext|>
3572,"i do sometimes, is that your favorite?","hi, i love to fish. i love to fish in the ocean.<|endoftext|>"
3573,yes. i swim every day. in the sea., for exercise? i love swimming.<|endoftext|>
3574,that is my dream! one day...,<|endoftext|>
3575,it is beautiful. great for long walks with hubby and kids.,<|endoftext|>
3576,i bet. i should stop watching so much sports and get outside.,"Plus, it is good for stress.<|endoftext|>"
3577,i agree. i love nature.,<|endoftext|>
3578,i do as well. i am getting married outside.,<|endoftext|>
3579,wonderful. you will like married life. i do.,Nice! where are you from?<|endoftext|>
3580,hey! i just got back from working at the grocery store.,<|endoftext|>
3581,that is cool! what do you do there? i just got home from dance,do you like salsa and tango? i love it!<|endoftext|>
3582,stocking mostly. after hours the girl in charge blasts taylor swift.,boarding and dancing. i really like to create art.<|endoftext|>
3583,woah! that is cool. i am cleaning up after my dog ralph.,oh my! i love tango and salsa!<|endoftext|>
3584,"oh, tell me about cleaning up! my two horses can make a mess!",what do you do for fun? i like being an artist.<|endoftext|>
3585,i believe that. i am nervous about school with all the race stuff going on.,"Yeah, but it is tango and salsa so i do it every chance i get.<|endoftext|>"
3586,i hear ya. i am in a big city and it is getting anxious here.,school is a lot of work. the kids are always running around.<|endoftext|>
3587,"my mom and dad are not here anymore, and being mixed i have questions.",what city are you in?<|endoftext|>
3588,what kind of questions? about yourself?,what kind of music do you like?<|endoftext|>
3589,"yeah and why people are so mean. i live with my sis, but she ignores it.", Citizenship? i think they will be okay. my mom died and my dad died years ago.<|endoftext|>
3590,"well, when i am not burning my spare time painting, i research. you could too.",whats wrong with your family?<|endoftext|>
3591,what do you paint? and it is not the same.,Tango and salsa are my favorite things to do.<|endoftext|>
3592,i paint landscape images mostly.,"... different. but hey, i am happy to help!<|endoftext|>"
3593,i bet they are beautiful.,what do you look like?<|endoftext|>
3594,hi! i love to party and jam to metallica. what are your hobbies?, and you?<|endoftext|>
3595,i enjoy spending time with my 3 girls not my ex though,"hi! i like to read and listen to music. my parents help me a lot. dad is a farmer, mom is a doctor.<|endoftext|>"
3596,exes are bummers. i hang with my two brothers mostly. where did you grow up?,"... i am not married yet, but my brothers and sisters are... all married.<|endoftext|>"
3597,i grew up in the last was. not sure what that means but it is true,"middle school, i was raised by my dad and mom. but i see a lot of them now. not much outside of that.<|endoftext|>"
3598,"sounds interesting, ha! i come from wisconsin, lots of snow and cold for me! i love it.",3 girls is a lot. seems like a lot of work.<|endoftext|>
3599,brr! what do your parents do? my dad was a firefighter and mom was a teacher,how do you like it?<|endoftext|>
3600,"cool! my mom was also a teacher, for 20 years! did you follow suit?", yours?<|endoftext|>
3601,wow! i am not much into teaching. too torn up over my divorce.,hi! no i didn't follow suit. i'm happily married now.<|endoftext|>
3602,"i am sorry. divorce is tough. you will come out ahead, it just takes time!",", sorry to hear that! i am the oldest of four, so its hard to come out of bad relationships<|endoftext|>"
3603,thank you! are you married?,how old are your kids?<|endoftext|>
3604,"not yet, hopefully one day. i want kids, lots of them!","nope, live with my brother. he is a detective.<|endoftext|>"
3605,kids are the best. i enjoy my 3 girls so much!,top of the morning to you!<|endoftext|>
3606,being a parent has to be the best. i bet they make that divorce much easier!,"aha, i wish i had a few more, but i'm really single.<|endoftext|>"
3607,i miss them when they are with their other parent though,Not easy when you have 3 kids.<|endoftext|>
3608,do you have any pets? i have a cat, in education.<|endoftext|>
3609,i have a dog. it is perfect for my single life,"none, but i do love cats. i've never been married so i've never had any pets.<|endoftext|>"
3610,what is your dogs name? my cat is arizona,do you have any kids?<|endoftext|>
3611,jerry. i used to live in arizona. now i am living in new york.,Her name is tupac. she's a black and white name. do you watch tv?<|endoftext|>
3612,"i like board games, do you have a hobby?",what do you do? i've a degree in bachelors<|endoftext|>
3613,"yes, i love to sing on my modeling jobs.",rock out to music is my passion. i also like fashion.<|endoftext|>
3614,i just graduated so no work yet,what kind of models? did you study while you were there?<|endoftext|>
3615,what is your dream job? mine is becoming an actress.,how long have you been playing games?<|endoftext|>
3616,i would like to be in real estate,ney lee. i want to be a chef<|endoftext|>
3617,that is a good job. i know someone who is a millionaire because of it!,<|endoftext|>
3618,oh that is good motivation for me,how cool is that?! do you live in nyc?<|endoftext|>
3619,i could not do it. i will just act as a realtor when i get famous!,<|endoftext|>
3620,"ha, good luck, how famous do you want to be?","yo, yo, yo, yo, yo. what is your favorite board game?<|endoftext|>"
3621,famous enough so i can have a chef to make me food all day, top 500!! top 100! top 100!<|endoftext|>
3622,"good morning, there is mist coming off the mountains this morning.",<|endoftext|>
3623,beautiful. my name is jordan and i am enjoying the florida sunshine,how are you? i'm stuck inside reading up on my nursing degree.<|endoftext|>
3624,nice! do you have any pets? i have cats and dogs.," jordan, that's a cool name. i'm enjoying the florida sun. its pretty hot here, but i've not been outside yet.<|endoftext|>"
3625,i have a cat. he likes to watch me play video games.,i have a labrador and a chihuahua. do you have any pets?<|endoftext|>
3626,does he like barry manila? my dogs love him.,i love video games too. i also love listening to music.<|endoftext|>
3627,"yes. i am getting ready to read a book, love a good drama", barry is a great movie. i also love the game of thrones.<|endoftext|>
3628,my parents were literary teachers.,<|endoftext|>
3629,"interesting. i am a vet, but i enjoy my musician job on the weekends",what is your favorite genre?<|endoftext|>
3630,"i stay at home with my pets, my husband is a detective.",<|endoftext|>
3631,"neat, i love a good detective show",<|endoftext|>
3632,it is not nearly as interesting in real life. he spends his days on social media.,<|endoftext|>
3633,that is funny. i used to live in california,i'm sure he does.<|endoftext|>
3634,"the wonders of technology, lol. we are moving to florida soon.",<|endoftext|>
3635,it is lovely here. the sunsets are beautiful,i love the east coast. i'm going to be a nurse soon.<|endoftext|>
3636,hello... how are you today?,<|endoftext|>
3637,i am great. just cuddling with my two cats.. and you?,"hello, i'm good. just enjoying a romantic novel.<|endoftext|>"
3638,i am doing quite well... i am allergic to cats and mangoes.,... just watching a movie.<|endoftext|>
3639,that sucks. i am writing a romance novel. what are your hobbies?,what a shame. do you have any pets?<|endoftext|>
3640,i like collecting civil war antiques. i am also a dog groomer., my hobbies are rescuing animals and college things.<|endoftext|>
3641,i reside on an island far away and it has made me an introvert., civil war antiques are cool. i like to sing. i also like to read.<|endoftext|>
3642,oh my.... i guess we are both a bit eccentric. are you married?, i think of myself as more of a social worker... especially during my spare time.<|endoftext|>
3643,"no, i just want to focus on being a writer right now. are you?", happily married.... i do not have kids.<|endoftext|>
3644,married four times and searching for my fifth husband. what do you write?,i'm not married. but i'm looking for someone.<|endoftext|>
3645,romance novels. do you have any children?,mostly poems. i also write short stories.<|endoftext|>
3646,none... but three of my husbands died. i think i bored them to death.,none yet. i'm still trying to meet the right person.<|endoftext|>
3647,haha. you are funny. i just have my two cats.,kids are a blessing. i have a cat.<|endoftext|>
3648,are you male or female... i fake a british accent to attract men...,<|endoftext|>
